 Net Value Growth Rate, Cash/Total Assets, Interest-bearing debt interest rate, Equity to Liability, Revenue Per Share (Yuan ¥), Net profit before tax/Paid-in capital,Bankrupt
0.0004558167442007,0.0078225773602293,0.0004320432043204,0.0707422420187225,0.0305065263094212,0.175145162506598,0
0.0004695666087608,0.0350331900755003,0.0003210321032103,0.0224326507495109,0.138118789418758,0.205821582082799,0
0.0004462841702226,0.237577722208308,0.0,0.0598557808106682,0.023655035769923,0.187218158509916,0
0.000442840465487,0.0924097779096504,0.0005070507050705,0.0208638372117984,0.0632061345796089,0.171140939597315,0
0.000641452392953,0.0350424685159976,0.0,0.23395166569171,0.0007259857525296,0.160312193650554,0
0.0004328337582482,0.112279296639428,0.0002640264026402,0.0489220400938951,0.0097251841432611,0.164361662016439,0
0.0004606578943362,0.465115684767932,0.0,0.11734925984827,0.0126442518565573,0.17379533971797,0
0.0004726859065285,0.0339817837759707,0.0003390339033903,0.0191712254482079,0.0519079813058669,0.175378930699042,0
0.0008611008645645,0.178978903521362,0.0,0.0748928531630004,0.0571411286053511,0.253955206997964,0
0.0004352293789338,0.0201394014551146,0.0008100810081008,0.0169675708463632,0.0307485215602644,0.167106553050298,0
0.0004829172032066,0.0446265133390984,0.0,0.0980365191424141,0.0195259918024109,0.171382248699193,0
0.0002865511701334,0.207171260217349,0.0001280128012801,0.0162532709390855,0.0054146437376166,0.161729884624086,0
0.0003742658233616,0.0882049911724809,0.0003000300030003,0.0375283464589446,0.0051726484867734,0.147258879420858,1
0.0004286663764305,0.0472499243071469,0.0002960296029602,0.0554005451513941,0.0028888183069407,0.158065002639318,0
0.0004587364069113,0.0557331851648537,0.0009540954095409,0.0261597007102143,0.0438465145121527,0.174858607948119,0
0.0004477315243868,0.118284614983665,0.0002090209020902,0.027523367642635,0.0409728209083897,0.18927682678531,0
0.0004432646899834,0.0265759384572195,0.0005070507050705,0.0206550500776167,0.0405342045162364,0.175544830706583,0
0.0009909385148479,0.0881936030195967,0.0012011201120112,0.0427238027879205,0.0187848813467036,0.163283311967423,0
0.0004573140071292,0.0605640366803342,0.0002070207020702,0.0477973268316861,0.0137332304853517,0.176593017117864,0
0.0004560662880221,0.134935252751697,0.0001970197019701,0.0477334663490986,0.0436952674803757,0.205693386622427,0
0.0004620054309719,0.0343971937159531,0.0,0.0254228824616902,0.101365760696946,0.212465123293869,0
0.0003755884056151,0.0271759216760225,0.0003970397039703,0.0260259916149182,0.0358304218279716,0.147311665786894,0
0.0004754308885641,0.027512047336305,0.0003930393039303,0.0240200190506334,0.0215829514345781,0.170258653193575,0
0.0004710389173072,0.074671259660823,0.0001910191019101,0.0172323678028742,0.178259751652374,0.185151949325089,0
0.0004532963516044,0.609512585124253,0.0,0.881017884275512,0.0006352375334634,0.167491139431415,0
0.0004513499097973,0.0479551321149978,0.0002850285028502,0.0159977547235787,0.0971610932135457,0.17270944875952,0
0.0004869598131136,0.0363992768710499,0.0004410441044104,0.0263728053562389,0.0758957605456993,0.203446195611191,0
0.0006184194982362,0.316069030291019,0.0002400240024002,0.0948877369980472,0.0210687115265363,0.181841490083704,0
0.0004507260502438,0.0339808820349505,0.0002150215021502,0.0509602247219879,0.0393696023715535,0.189887640449438,0
0.0005329507394008,0.0479327998997318,0.0001710171017101,0.050464985037124,0.0182706414386618,0.201990800090491,0
0.000532276971083,0.0160530185119036,0.0007540754075407,0.0294924004747431,0.0164103029478046,0.173131739687806,0
0.0004392470344586,0.122325109704959,0.0002600260026002,0.0374051557612279,0.0298259146664247,0.169957016816228,0
0.000477876418014,0.0070319448457314,0.0009070907090709,0.0238840507205083,0.0234281652222575,0.171593394163336,0
0.0005239671618298,0.187791951862181,0.0,0.048876335210931,0.0555984088812257,0.201364904607496,0
0.0005121886934589,0.266524220287507,0.0001210121012101,0.033312427552307,0.0485502972004174,0.172822562401026,0
0.0004515744992366,0.0329685082395812,0.0005340534053405,0.0248310733908119,0.0045525356564877,0.163064625593847,0
0.0006440226943136,0.20080730432736,0.0011131113111311,0.0477199135163186,0.0312476367651285,0.182972626498756,0
0.0002298298595252,0.0917906332591688,0.0,0.0199083524448709,0.0037963004976027,0.147258879420858,0
0.0004550681127365,0.0379652326427253,0.001020102010201,0.0610194734924817,0.0294931711965153,0.184789985672272,0
0.0006110579555044,0.144144339420581,0.0002240224022402,0.0343763198756058,0.0639169956289608,0.21693688258804,0
0.0006908371152115,0.162743722023365,0.0004970497049704,0.0291292481999568,0.0513786166946474,0.214388055199457,0
0.0005282593155581,0.333459450516019,0.0002730273027302,0.0488792298290254,0.0750790265741035,0.229356760425307,0
0.0003506340234733,0.0041113390214456,0.0004250425042504,0.0194418609106291,0.0209930880106478,0.147055274866149,0
